iter	MAE
0	6.381348824
1	6.336433959
2	6.292074749
3	6.249000647
4	6.20717701
5	6.166243998
6	6.125711495
7	6.08582275
8	6.04830288
9	6.010171828
10	5.974148761
11	5.939082795
12	5.903819399
13	5.868946796
14	5.835104116
15	5.803492169
16	5.770416112
17	5.740353552
18	5.71018562
19	5.68088151
20	5.65232577
21	5.624541345
22	5.596142086
23	5.568263712
24	5.541233538
25	5.515695538
26	5.491108291
27	5.465779544
28	5.442360074
29	5.418811699
30	5.39683943
31	5.374932
32	5.352734624
33	5.33153198
34	5.310863956
35	5.291387726
36	5.272072395
37	5.252514067
38	5.232964931
39	5.214670754
40	5.197325911
41	5.180570395
42	5.163306767
43	5.147056833
44	5.130776416
45	5.114532139
46	5.099224824
47	5.085881054
48	5.07102688
49	5.05695275
50	5.043618806
51	5.029748668
52	5.016347896
53	5.003157946
54	4.990239023
55	4.977714842
56	4.965423131
57	4.953967657
58	4.942627251
59	4.932196976
60	4.920448317
61	4.909843184
62	4.899990794
63	4.889092628
64	4.878326429
65	4.869583196
66	4.859581917
67	4.851112836
68	4.841847005
69	4.832837574
70	4.823351788
71	4.814536833
72	4.806458023
73	4.798598031
74	4.790443252
75	4.781582324
76	4.773393357
77	4.765840017
78	4.758433067
79	4.752252646
80	4.745662583
81	4.73873578
82	4.732359989
83	4.726049022
84	4.719972703
85	4.713932731
86	4.707028605
87	4.701015673
88	4.694243192
89	4.688514264
90	4.682459469
91	4.676994226
92	4.671434422
93	4.665840424
94	4.660340415
95	4.654907404
96	4.650108062
97	4.645253729
98	4.64105393
99	4.635729341
100	4.629942259
101	4.625281867
102	4.621300413
103	4.616453792
104	4.611786665
105	4.607832444
106	4.603518076
107	4.599811305
108	4.595530889
109	4.591666096
110	4.588455611
111	4.585074488
112	4.582005187
113	4.578210401
114	4.575424876
115	4.572349843
116	4.568656
117	4.566153831
118	4.56331915
119	4.560719213
120	4.558175263
121	4.555528252
122	4.552396867
123	4.549876859
124	4.546837021
125	4.543737152
126	4.54116439
127	4.538713683
128	4.534800974
129	4.532207252
130	4.530152829
131	4.527538259
132	4.52584369
133	4.523902456
134	4.521888619
135	4.519660076
136	4.517507752
137	4.515116498
138	4.512594259
139	4.51063921
140	4.508993771
141	4.506401698
142	4.50446858
143	4.502694355
144	4.50120405
145	4.499130269
146	4.497314713
147	4.495119625
148	4.492869029
149	4.491328802
150	4.489453063
151	4.487966267
152	4.486870441
153	4.485185744
154	4.483037085
155	4.480482958
156	4.478771789
157	4.476331228
158	4.474414633
159	4.473173509
160	4.471796417
161	4.469983743
162	4.467731093
163	4.466244569
164	4.464608793
165	4.46284887
166	4.461472116
167	4.459979962
168	4.45834506
169	4.455682478
170	4.454508961
171	4.452978752
172	4.451984007
173	4.450735186
174	4.449393647
175	4.447631481
176	4.446518767
177	4.44424588
178	4.44311899
179	4.441826407
180	4.439817341
181	4.438411004
182	4.437534092
183	4.43661116
184	4.436192938
185	4.435306366
186	4.433830295
187	4.43281262
188	4.431932689
189	4.43063124
190	4.429498859
191	4.428623621
192	4.427740117
193	4.42685675
194	4.425661516
195	4.424884398
196	4.423683119
197	4.422556967
198	4.42119378
199	4.419740581
200	4.419012477
201	4.417033549
202	4.416098485
203	4.415225737
204	4.414426986
205	4.412930277
206	4.412302563
207	4.41095703
208	4.410425666
209	4.408424977
210	4.407538063
211	4.406142534
212	4.405500976
213	4.403062792
214	4.401873309
215	4.400293031
216	4.399335091
217	4.398076286
218	4.396530691
219	4.3949085
220	4.393221547
221	4.392273017
222	4.391054869
223	4.389837427
224	4.389347434
225	4.388874996
226	4.38839127
227	4.386520145
228	4.38530325
229	4.384696968
230	4.383956427
231	4.382846974
232	4.381512791
233	4.379898914
234	4.378530682
235	4.377356959
236	4.376194208
237	4.375186178
238	4.373921674
239	4.373359956
240	4.372117538
241	4.371777761
