iter	Passed	Remaining
0	278	138950
1	368	91799
2	461	76443
3	550	68211
4	610	60469
5	665	54758
6	720	50733
7	775	47697
8	833	45470
9	893	43781
10	954	42431
11	1016	41325
12	1076	40339
13	1139	39566
14	1201	38847
15	1261	38169
16	1323	37595
17	1385	37088
18	1448	36663
19	1511	36282
20	1573	35889
21	1635	35535
22	1699	35242
23	1753	34777
24	1811	34425
25	1868	34070
26	1922	33683
27	1977	33340
28	2035	33054
29	2090	32754
30	2146	32480
31	2201	32199
32	2257	31943
33	2320	31801
34	2377	31587
35	2431	31345
36	2488	31134
37	2542	30909
38	2595	30678
39	2647	30449
40	2707	30307
41	2765	30158
42	2822	29998
43	2881	29861
44	2940	29732
45	2998	29589
46	3052	29422
47	3107	29264
48	3166	29147
49	3223	29011
50	3279	28876
51	3335	28735
52	3389	28586
53	3444	28446
54	3500	28324
55	3561	28238
56	3615	28095
57	3670	27970
58	3724	27835
59	3778	27708
60	3830	27569
61	3889	27478
62	3950	27402
63	4007	27300
64	4080	27308
65	4130	27162
66	4188	27068
67	4246	26978
68	4303	26882
69	4363	26807
70	4418	26700
71	4475	26601
72	4533	26515
73	4588	26415
74	4649	26348
75	4710	26277
76	4770	26205
77	4824	26100
78	4881	26015
79	4943	25952
80	5002	25877
81	5058	25786
82	5118	25715
83	5176	25636
84	5232	25548
85	5293	25482
86	5355	25421
87	5420	25379
88	5479	25305
89	5553	25300
90	5613	25231
91	5670	25149
92	5753	25178
93	5818	25131
94	5878	25061
95	5936	24982
96	5990	24887
97	6045	24799
98	6100	24710
99	6157	24629
100	6216	24560
101	6281	24509
102	6340	24440
103	6396	24354
104	6449	24261
105	6502	24168
106	6565	24114
107	6631	24068
108	6691	24004
109	6748	23925
110	6812	23874
111	6874	23816
112	6932	23743
113	6994	23681
114	7048	23598
115	7105	23523
116	7168	23464
117	7229	23404
118	7303	23383
119	7359	23306
120	7422	23248
121	7480	23176
122	7541	23115
123	7603	23054
124	7658	22975
125	7716	22903
126	7773	22829
127	7831	22759
128	7882	22670
129	7940	22599
130	8000	22535
131	8062	22477
132	8121	22411
133	8178	22338
134	8238	22274
135	8299	22212
136	8355	22140
137	8408	22057
138	8467	21991
139	8523	21917
140	8578	21842
141	8633	21767
142	8692	21701
143	8757	21650
144	8813	21577
145	8868	21503
146	8923	21429
147	8978	21353
148	9031	21276
149	9091	21212
150	9150	21150
151	9210	21086
152	9265	21014
153	9321	20943
154	9379	20876
155	9433	20802
156	9488	20730
157	9542	20656
158	9599	20587
159	9659	20526
160	9717	20461
161	9778	20401
162	9835	20334
163	9889	20260
164	9940	20181
165	9993	20106
166	10050	20041
167	10109	19977
168	10165	19909
