raceId,year,circuitId,driverId,constructorId,grid,positionOrder
18,2008,1,1,1,1,1
18,2008,1,2,2,5,2
18,2008,1,3,3,7,3
18,2008,1,4,4,11,4
18,2008,1,5,1,3,5
18,2008,1,6,3,13,6
18,2008,1,7,5,17,7
18,2008,1,8,6,15,8
18,2008,1,9,2,2,9
18,2008,1,10,7,18,10
18,2008,1,11,8,19,11
18,2008,1,12,4,20,12
18,2008,1,13,6,4,13
18,2008,1,14,9,8,14
18,2008,1,15,7,6,15
18,2008,1,16,10,22,16
18,2008,1,17,9,14,17
18,2008,1,18,11,12,18
18,2008,1,19,8,21,19
18,2008,1,20,5,9,20
18,2008,1,21,10,16,21
18,2008,1,22,11,10,22
19,2008,2,8,6,2,1
19,2008,2,9,2,4,2
19,2008,2,5,1,8,3
19,2008,2,15,7,3,4
19,2008,2,1,1,9,5
19,2008,2,2,2,5,6
19,2008,2,17,9,6,7
19,2008,2,4,4,7,8
19,2008,2,14,9,12,9
19,2008,2,18,11,11,10
19,2008,2,12,4,13,11
19,2008,2,21,10,17,12
19,2008,2,22,11,14,13
19,2008,2,3,3,16,14
19,2008,2,19,8,21,15
19,2008,2,11,8,19,16
19,2008,2,6,3,22,17
19,2008,2,20,5,15,18
19,2008,2,13,6,1,19
19,2008,2,16,10,20,20
19,2008,2,10,7,10,21
19,2008,2,7,5,18,22
20,2008,3,13,6,2,1
20,2008,3,8,6,4,2
20,2008,3,9,2,1,3
20,2008,3,2,2,6,4
20,2008,3,5,1,5,5
20,2008,3,15,7,7,6
20,2008,3,17,9,11,7
20,2008,3,3,3,8,8
20,2008,3,10,7,13,9
20,2008,3,4,4,10,10
20,2008,3,22,11,12,11
20,2008,3,21,10,18,12
20,2008,3,1,1,3,13
20,2008,3,6,3,16,14
20,2008,3,7,5,15,15
20,2008,3,19,8,21,16
20,2008,3,11,8,22,17
20,2008,3,14,9,17,18
20,2008,3,16,10,20,19
20,2008,3,12,4,14,20
20,2008,3,18,11,9,21
20,2008,3,20,5,19,22
21,2008,4,8,6,1,1
21,2008,4,13,6,3,2
21,2008,4,1,1,5,3
21,2008,4,9,2,4,4
21,2008,4,17,9,7,5
21,2008,4,18,11,13,6
21,2008,4,6,3,12,7
21,2008,4,15,7,8,8
21,2008,4,2,2,9,9
21,2008,4,21,10,19,10
21,2008,4,10,7,14,11
21,2008,4,14,9,17,12
21,2008,4,11,8,22,13
21,2008,4,3,3,15,14
21,2008,4,4,4,2,15
21,2008,4,22,11,11,16
21,2008,4,5,1,6,17
21,2008,4,19,8,21,18
21,2008,4,7,5,16,19
21,2008,4,12,4,10,20
21,2008,4,16,10,20,21
21,2008,4,20,5,18,22
22,2008,5,13,6,1,1
22,2008,5,1,1,3,2
22,2008,5,8,6,4,3
22,2008,5,9,2,5,4
22,2008,5,2,2,9,5
22,2008,5,4,4,7,6
22,2008,5,17,9,6,7
22,2008,5,3,3,11,8
22,2008,5,14,9,10,9
22,2008,5,15,7,8,10
22,2008,5,18,11,13,11
22,2008,5,5,1,2,12
22,2008,5,10,7,15,13
22,2008,5,22,11,12,14
22,2008,5,12,4,17,15
22,2008,5,16,10,19,16
22,2008,5,20,5,14,17
22,2008,5,7,5,18,18
22,2008,5,6,3,16,19
22,2008,5,21,10,20,20
23,2008,6,1,1,3,1
23,2008,6,9,2,5,2
23,2008,6,13,6,1,3
23,2008,6,17,9,9,4
23,2008,6,20,5,19,5
23,2008,6,22,11,14,6
23,2008,6,6,3,13,7
23,2008,6,5,1,4,8
23,2008,6,8,6,2,9
23,2008,6,4,4,7,10
23,2008,6,18,11,11,11
23,2008,6,10,7,10,12
23,2008,6,15,7,8,13
23,2008,6,2,2,12,14
23,2008,6,16,10,18,15
23,2008,6,3,3,6,16
23,2008,6,12,4,17,17
23,2008,6,21,10,20,18
23,2008,6,14,9,15,19
23,2008,6,7,5,16,20
24,2008,7,9,2,2,1
24,2008,7,2,2,8,2
24,2008,7,14,9,13,3
24,2008,7,10,7,11,4
24,2008,7,13,6,6,5
24,2008,7,15,7,14,6
24,2008,7,22,11,9,7
24,2008,7,20,5,19,8
24,2008,7,5,1,7,9
24,2008,7,3,3,5,10
24,2008,7,18,11,20,11
24,2008,7,17,9,10,12
24,2008,7,7,5,18,13
24,2008,7,21,10,17,14
24,2008,7,6,3,12,15
24,2008,7,4,4,4,16
24,2008,7,12,4,15,17
24,2008,7,8,6,3,18
24,2008,7,1,1,1,19
24,2008,7,16,10,16,20
25,2008,8,13,6,2,1
25,2008,8,8,6,1,2
25,2008,8,15,7,4,3
25,2008,8,5,1,10,4
25,2008,8,9,2,5,5
25,2008,8,17,9,6,6
25,2008,8,12,4,9,7
25,2008,8,4,4,3,8
25,2008,8,14,9,7,9
25,2008,8,1,1,13,10
25,2008,8,10,7,8,11
25,2008,8,20,5,12,12
25,2008,8,2,2,11,13
25,2008,8,22,11,20,14
25,2008,8,6,3,15,15
25,2008,8,3,3,19,16
25,2008,8,7,5,14,17
25,2008,8,21,10,17,18
25,2008,8,16,10,18,19
25,2008,8,18,11,16,20
26,2008,9,1,1,4,1
26,2008,9,2,2,5,2
26,2008,9,22,11,16,3
26,2008,9,8,6,3,4
26,2008,9,5,1,1,5
26,2008,9,4,4,6,6
26,2008,9,15,7,14,7
26,2008,9,6,3,15,8
26,2008,9,3,3,20,9
26,2008,9,17,9,2,10
26,2008,9,7,5,13,11
26,2008,9,10,7,12,12
26,2008,9,13,6,9,13
26,2008,9,9,2,10,14
26,2008,9,18,11,17,15
26,2008,9,12,4,7,16
26,2008,9,21,10,19,17
26,2008,9,16,10,18,18
26,2008,9,20,5,8,19
26,2008,9,14,9,11,20
27,2008,10,1,1,1,1
27,2008,10,12,4,17,2
27,2008,10,13,6,2,3
27,2008,10,2,2,12,4
27,2008,10,5,1,3,5
27,2008,10,8,6,6,6
27,2008,10,9,2,7,7
27,2008,10,20,5,9,8
27,2008,10,15,7,4,9
27,2008,10,3,3,13,10
27,2008,10,4,4,5,11
27,2008,10,7,5,15,12
27,2008,10,14,9,10,13
27,2008,10,6,3,16,14
27,2008,10,16,10,19,15
27,2008,10,21,10,20,16
27,2008,10,18,11,14,17
27,2008,10,22,11,18,18
27,2008,10,17,9,8,19
27,2008,10,10,7,11,20
28,2008,11,5,1,2,1
28,2008,11,10,7,5,2
28,2008,11,8,6,6,3
28,2008,11,4,4,7,4
28,2008,11,1,1,1,5
28,2008,11,12,4,10,6
28,2008,11,15,7,9,7
28,2008,11,9,2,4,8
28,2008,11,17,9,8,9
28,2008,11,2,2,15,10
28,2008,11,14,9,13,11
28,2008,11,18,11,12,12
28,2008,11,6,3,16,13
28,2008,11,3,3,14,14
28,2008,11,21,10,18,15
28,2008,11,22,11,17,16
28,2008,11,13,6,3,17
28,2008,11,7,5,19,18
28,2008,11,16,10,20,19
28,2008,11,20,5,11,20
29,2008,12,13,6,1,1
29,2008,12,1,1,2,2
29,2008,12,9,2,3,3
29,2008,12,5,1,5,4
29,2008,12,15,7,7,5
29,2008,12,20,5,6,6
29,2008,12,10,7,13,7
29,2008,12,3,3,9,8
29,2008,12,2,2,8,9
29,2008,12,7,5,10,10
29,2008,12,12,4,15,11
29,2008,12,17,9,14,12
29,2008,12,18,11,16,13
29,2008,12,21,10,18,14
29,2008,12,6,3,11,15
29,2008,12,22,11,19,16
29,2008,12,14,9,17,17
29,2008,12,8,6,4,18
29,2008,12,16,10,20,19
29,2008,12,4,4,12,20
30,2008,13,13,6,2,1
30,2008,13,2,2,5,2
30,2008,13,1,1,1,3
30,2008,13,4,4,6,4
30,2008,13,20,5,10,5
30,2008,13,9,2,8,6
30,2008,13,7,5,9,7
30,2008,13,17,9,7,8
30,2008,13,10,7,13,9
30,2008,13,5,1,3,10
30,2008,13,14,9,14,11
30,2008,13,3,3,15,12
30,2008,13,16,10,18,13
30,2008,13,6,3,19,14
30,2008,13,18,11,17,15
30,2008,13,15,7,11,16
30,2008,13,21,10,20,17
30,2008,13,8,6,4,18
30,2008,13,22,11,16,19
30,2008,13,12,4,12,20
31,2008,14,20,5,1,1
31,2008,14,5,1,2,2
31,2008,14,9,2,11,3
31,2008,14,4,4,8,4
31,2008,14,2,2,10,5
31,2008,14,13,6,6,6
31,2008,14,1,1,15,7
31,2008,14,17,9,3,8
31,2008,14,8,6,14,9
31,2008,14,12,4,17,10
31,2008,14,10,7,9,11
31,2008,14,6,3,18,12
31,2008,14,15,7,7,13
31,2008,14,3,3,5,14
31,2008,14,18,11,19,15
31,2008,14,14,9,13,16
31,2008,14,22,11,16,17
31,2008,14,7,5,4,18
31,2008,14,16,10,20,19
31,2008,14,21,10,12,20
32,2008,15,4,4,15,1
32,2008,15,3,3,8,2
32,2008,15,1,1,2,3
32,2008,15,10,7,7,4
32,2008,15,20,5,6,5
32,2008,15,2,2,9,6
32,2008,15,14,9,14,7
32,2008,15,6,3,10,8
32,2008,15,18,11,12,9
32,2008,15,5,1,5,10
32,2008,15,9,2,4,11
32,2008,15,7,5,17,12
32,2008,15,13,6,1,13
32,2008,15,21,10,20,14
32,2008,15,8,6,3,15
32,2008,15,15,7,11,16
32,2008,15,16,10,19,17
32,2008,15,17,9,13,18
32,2008,15,22,11,18,19
32,2008,15,12,4,16,20
33,2008,16,4,4,4,1
33,2008,16,9,2,6,2
33,2008,16,8,6,2,3
33,2008,16,12,4,12,4
33,2008,16,15,7,7,5
33,2008,16,20,5,9,6
33,2008,16,13,6,5,7
33,2008,16,17,9,13,8
33,2008,16,2,2,16,9
33,2008,16,7,5,10,10
33,2008,16,3,3,15,11
33,2008,16,1,1,1,12
33,2008,16,22,11,17,13
33,2008,16,18,11,18,14
33,2008,16,6,3,14,15
33,2008,16,21,10,20,16
33,2008,16,5,1,3,17
33,2008,16,16,10,19,18
33,2008,16,10,7,8,19
33,2008,16,14,9,11,20
34,2008,17,1,1,1,1
34,2008,17,13,6,3,2
34,2008,17,8,6,2,3
34,2008,17,4,4,4,4
34,2008,17,2,2,9,5
34,2008,17,9,2,11,6
34,2008,17,10,7,12,7
34,2008,17,12,4,10,8
34,2008,17,20,5,6,9
34,2008,17,14,9,15,10
34,2008,17,22,11,13,11
34,2008,17,6,3,17,12
34,2008,17,7,5,8,13
34,2008,17,17,9,16,14
34,2008,17,3,3,14,15
34,2008,17,18,11,18,16
34,2008,17,21,10,20,17
34,2008,17,5,1,5,18
34,2008,17,16,10,19,19
34,2008,17,15,7,7,20
35,2008,18,13,6,1,1
35,2008,18,4,4,6,2
35,2008,18,8,6,3,3
35,2008,18,20,5,7,4
35,2008,18,1,1,4,5
35,2008,18,10,7,10,6
35,2008,18,5,1,5,7
35,2008,18,15,7,2,8
35,2008,18,17,9,12,9
35,2008,18,2,2,8,10
35,2008,18,9,2,13,11
35,2008,18,3,3,18,12
35,2008,18,18,11,17,13
35,2008,18,7,5,9,14
35,2008,18,22,11,15,15
35,2008,18,16,10,20,16
35,2008,18,6,3,16,17
35,2008,18,21,10,19,18
35,2008,18,12,4,11,19
35,2008,18,14,9,14,20
36,2007,1,8,6,1,1
36,2007,1,4,1,2,2
36,2007,1,1,1,4,3
36,2007,1,2,2,3,4
36,2007,1,21,4,6,5
36,2007,1,13,6,22,6
36,2007,1,3,3,12,7
36,2007,1,23,7,9,8
36,2007,1,15,7,8,9
36,2007,1,5,4,13,10
36,2007,1,22,11,16,11
36,2007,1,11,8,10,12
36,2007,1,17,9,7,13
36,2007,1,24,5,19,14
36,2007,1,18,11,14,15
36,2007,1,19,8,11,16
36,2007,1,16,12,20,17
36,2007,1,25,3,15,18
36,2007,1,14,9,18,19
36,2007,1,9,2,5,20
36,2007,1,26,5,17,21
36,2007,1,27,12,21,22
37,2007,2,4,1,2,1
37,2007,2,1,1,4,2
37,2007,2,8,6,3,3
37,2007,2,2,2,5,4
37,2007,2,13,6,1,5
37,2007,2,21,4,12,6
37,2007,2,15,7,8,7
37,2007,2,5,4,11,8
37,2007,2,25,3,19,9
37,2007,2,17,9,10,10
37,2007,2,22,11,22,11
37,2007,2,18,11,15,12
37,2007,2,11,8,14,13
37,2007,2,26,5,17,14
37,2007,2,23,7,9,15
37,2007,2,19,8,18,16
37,2007,2,24,5,16,17
37,2007,2,9,2,7,18
37,2007,2,3,3,6,19
37,2007,2,14,9,13,20
37,2007,2,27,12,20,21
37,2007,2,16,12,21,22
38,2007,3,13,6,1,1
38,2007,3,1,1,2,2
38,2007,3,8,6,3,3
38,2007,3,2,2,5,4
38,2007,3,4,1,4,5
38,2007,3,9,2,6,6
38,2007,3,15,7,9,7
38,2007,3,21,4,7,8
38,2007,3,5,4,12,9
38,2007,3,3,3,10,10
38,2007,3,25,3,11,11
38,2007,3,23,7,14,12
38,2007,3,22,11,15,13
38,2007,3,27,12,22,14
38,2007,3,16,12,20,15
38,2007,3,19,8,13,16
38,2007,3,17,9,8,17
