raceId,year,circuitId,driverId,constructorId,grid,positionOrder,statusId,status,is_dnf,driver_recent_form,constructor_recent_form,driver_circuit_form,constructor_circuit_form,driver_dnf_rate,qualifying_position,driver_recent_qualifying_form
833,1950,9,642,51,1,1,1,Finished,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
833,1950,9,786,51,2,2,1,Finished,0,12.794050599798199,12.794050599798199,12.794050599798199,1.0,0.0,,11.195826186392225
833,1950,9,686,51,4,3,1,Finished,0,12.794050599798199,12.794050599798199,12.794050599798199,1.5,0.0,,11.195826186392225
833,1950,9,704,154,6,4,12,+2 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
833,1950,9,627,154,9,5,12,+2 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,4.0,0.0,,11.195826186392225
833,1950,9,619,151,13,6,13,+3 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
833,1950,9,787,151,15,7,13,+3 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,6.0,0.0,,11.195826186392225
833,1950,9,741,154,14,8,15,+5 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,4.5,0.0,,11.195826186392225
833,1950,9,784,105,16,9,16,+6 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
833,1950,9,778,105,20,10,16,+6 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,9.0,0.0,,11.195826186392225
833,1950,9,660,154,21,11,16,+6 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,5.666666666666667,0.0,,11.195826186392225
833,1950,9,579,51,3,12,44,Oil leak,1,12.794050599798199,12.794050599798199,12.794050599798199,2.0,0.0,,11.195826186392225
833,1950,9,776,126,19,13,62,Not classified,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
833,1950,9,669,105,5,14,60,Out of fuel,1,12.794050599798199,12.794050599798199,12.794050599798199,9.5,0.0,,11.195826186392225
833,1950,9,747,105,18,15,5,Engine,1,12.794050599798199,12.794050599798199,12.794050599798199,11.0,0.0,,11.195826186392225
833,1950,9,785,126,17,16,7,Transmission,1,12.794050599798199,12.794050599798199,12.794050599798199,13.0,0.0,,11.195826186392225
833,1950,9,640,105,8,17,5,Engine,1,12.794050599798199,12.794050599798199,12.794050599798199,12.0,0.0,,11.195826186392225
833,1950,9,589,105,11,18,8,Clutch,1,12.794050599798199,11.399999999999999,12.794050599798199,13.0,0.0,,11.195826186392225
